Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
001_add staff,Chrome 73.0.3683.75,\u4EBA\u5458\u7BA1\u7406,2019-04-17 14:52:46,2019-04-17 14:58:33,5m - 46.877s,FAILED
,,,,,,
Test Cases/001_Login_Home/002_Login,Chrome 73.0.3683.75,登录（记住密码）,2019-04-17 14:52:47,2019-04-17 14:53:02,15.784s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:52:47,2019-04-17 14:52:47,0.010s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:52:48,2019-04-17 14:52:55,7.725s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:52:55,2019-04-17 14:52:56,1.010s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:52:56,2019-04-17 14:52:57,0.226s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:52:57,2019-04-17 14:52:58,1.005s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 14:52:58,2019-04-17 14:52:58,0.138s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:52:58,2019-04-17 14:52:59,1.004s,PASSED
"Statement - R = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementChecked(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/remember_password), 10)",Chrome 73.0.3683.75,,2019-04-17 14:52:59,2019-04-17 14:52:59,0.072s,PASSED
Statement - If (R),Chrome 73.0.3683.75,,2019-04-17 14:52:59,2019-04-17 14:52:59,0.006s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:52:59,2019-04-17 14:52:59,0.086s,PASSED
"Statement - a = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(homepage/a_homepage), 40)",Chrome 73.0.3683.75,,2019-04-17 14:52:59,2019-04-17 14:53:00,0.758s,PASSED
Statement - If (a),Chrome 73.0.3683.75,,2019-04-17 14:53:00,2019-04-17 14:53:00,0.743s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:53:00,2019-04-17 14:53:00,0.004s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/001_Enter_User",Chrome 73.0.3683.75,从系统设置进入人员管理,2019-04-17 14:53:02,2019-04-17 14:53:19,16.700s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:53:02,2019-04-17 14:53:02,0.004s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 14:53:03,2019-04-17 14:53:13,10.812s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:53:13,2019-04-17 14:53:15,1.007s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:53:15,2019-04-17 14:53:15,0.116s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:53:15,2019-04-17 14:53:16,1.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 14:53:16,2019-04-17 14:53:16,0.364s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 14:53:16,2019-04-17 14:53:17,1.002s,PASSED
"Statement - verify_user = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/cite_usertable), 0)",Chrome 73.0.3683.75,,2019-04-17 14:53:17,2019-04-17 14:53:17,0.047s,PASSED
Statement - If (verify_user),Chrome 73.0.3683.75,,2019-04-17 14:53:17,2019-04-17 14:53:17,0.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 14:53:17,2019-04-17 14:53:17,0.003s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/002_Add_user",Chrome 73.0.3683.75,信息全部输入，或者支持不填写邮箱，保存成功。最后通过搜索刚才添加的用户，验证是否成功添加。,2019-04-17 14:53:19,2019-04-17 14:53:37,17.485s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 14:53:19,2019-04-17 14:53:19,0.005s,PASSED
