Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
003_checkdetail,Chrome 73.0.3683.75,\u67E5\u770B\u8BE6\u60C5,2019-04-17 15:04:53,2019-04-17 15:05:34,40.755s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/008_Check_detail",Chrome 73.0.3683.75,1.检查人员详情页面数据，验证数据是否与添加的数据一致，确认没有丢失。,2019-04-17 15:04:55,2019-04-17 15:05:34,39.590s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 15:04:55,2019-04-17 15:04:55,0.012s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 15:04:56,2019-04-17 15:05:14,17.628s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 15:05:14,2019-04-17 15:05:14,0.197s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:05:14,2019-04-17 15:05:15,1.006s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 15:05:15,2019-04-17 15:05:15,0.176s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:05:15,2019-04-17 15:05:16,1.005s,PASSED
Statement - i = 1,Chrome 73.0.3683.75,,2019-04-17 15:05:16,2019-04-17 15:05:16,0.001s,PASSED
Statement - userinfo = [],Chrome 73.0.3683.75,,2019-04-17 15:05:16,2019-04-17 15:05:16,0.001s,PASSED
"Statement - For ([j = 1, j <= 5, (j++)])",Chrome 73.0.3683.75,,2019-04-17 15:05:16,2019-04-17 15:05:17,0.872s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 15:05:17,2019-04-17 15:05:17,0.119s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:05:17,2019-04-17 15:05:27,10.004s,PASSED
Statement - userdetail = [],Chrome 73.0.3683.75,,2019-04-17 15:05:27,2019-04-17 15:05:27,0.002s,PASSED
Statement - name = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Details/realname),Chrome 73.0.3683.75,,2019-04-17 15:05:27,2019-04-17 15:05:28,0.022s,PASSED
Statement - position = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Details/position),Chrome 73.0.3683.75,,2019-04-17 15:05:28,2019-04-17 15:05:28,0.011s,PASSED
Statement - mobile = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Details/mobile),Chrome 73.0.3683.75,,2019-04-17 15:05:28,2019-04-17 15:05:28,0.008s,PASSED
