Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
005_delete,Chrome 73.0.3683.75,\u5220\u9664\u7528\u6237,2019-04-17 15:09:21,2019-04-17 15:11:00,1m - 38.271s,FAILED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/012_Delete_User",Chrome 73.0.3683.75,删除用户,2019-04-17 15:09:22,2019-04-17 15:10:30,1m - 8.501s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 15:09:22,2019-04-17 15:09:22,0.010s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 15:09:23,2019-04-17 15:09:37,14.819s,PASSED
maximizeWindow,Chrome 73.0.3683.75,,2019-04-17 15:09:37,2019-04-17 15:09:38,1.139s,PASSED
"Statement - Total_First1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Search/total_list), ""innerText"")",Chrome 73.0.3683.75,,2019-04-17 15:09:38,2019-04-17 15:09:39,0.068s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 15:09:39,2019-04-17 15:09:39,0.115s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:09:39,2019-04-17 15:09:40,1.004s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 15:09:40,2019-04-17 15:09:40,0.105s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:09:40,2019-04-17 15:09:41,1.003s,PASSED
"Statement - For ([i = 1, i <= 1, (i++)])",Chrome 73.0.3683.75,,2019-04-17 15:09:41,2019-04-17 15:09:41,0.094s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:09:41,2019-04-17 15:09:46,5.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 15:09:46,2019-04-17 15:09:46,0.159s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:09:46,2019-04-17 15:09:47,1.004s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 15:09:47,2019-04-17 15:09:47,0.104s,PASSED
"Statement - tips = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Delete_user/Delete_successful), 10, STOP_ON_FAILURE)",Chrome 73.0.3683.75,,2019-04-17 15:09:47,2019-04-17 15:09:47,0.074s,PASSED
Statement - If (tips),Chrome 73.0.3683.75,,2019-04-17 15:09:47,2019-04-17 15:09:47,0.005s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:09:47,2019-04-17 15:09:50,3.003s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 15:09:50,2019-04-17 15:09:50,0.096s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:09:50,2019-04-17 15:09:51,1.004s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 15:09:51,2019-04-17 15:09:51,0.115s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:09:51,2019-04-17 15:09:52,1.002s,PASSED
Statement - Try,Chrome 73.0.3683.75,,2019-04-17 15:09:52,2019-04-17 15:10:26,33.191s,FAILED
Statement - Catch (Exception NoSuchElementException),Chrome 73.0.3683.75,,2019-04-17 15:10:26,2019-04-17 15:10:26,0.617s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:10:26,2019-04-17 15:10:27,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 15:10:27,2019-04-17 15:10:28,0.313s,PASSED
"Statement - Total_First2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/Search/total_list), ""innerText"")",Chrome 73.0.3683.75,,2019-04-17 15:10:28,2019-04-17 15:10:28,0.565s,PASSED
Statement - a = java.lang.Integer.parseInt(Total_First1[(2..3)]),Chrome 73.0.3683.75,,2019-04-17 15:10:28,2019-04-17 15:10:28,0.025s,PASSED
Statement - b = java.lang.Integer.parseInt(Total_First2[(2..3)]),Chrome 73.0.3683.75,,2019-04-17 15:10:28,2019-04-17 15:10:28,0.003s,PASSED
Statement - If (a == b + 1),Chrome 73.0.3683.75,,2019-04-17 15:10:28,2019-04-17 15:10:28,0.001s,PASSED
Statement - Else,Chrome 73.0.3683.75,,2019-04-17 15:10:28,2019-04-17 15:10:28,0.007s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 15:10:28,2019-04-17 15:10:28,0.004s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/013_cancel_delete",Chrome 73.0.3683.75,取消删除,2019-04-17 15:10:30,2019-04-17 15:10:59,29.192s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 15:10:30,2019-04-17 15:10:30,0.003s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 15:10:31,2019-04-17 15:10:44,13.620s,PASSED
maximizeWindow,Chrome 73.0.3683.75,,2019-04-17 15:10:44,2019-04-17 15:10:45,1.214s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 15:10:45,2019-04-17 15:10:46,0.169s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:10:46,2019-04-17 15:10:47,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 15:10:47,2019-04-17 15:10:47,0.099s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 15:10:47,2019-04-17 15:10:48,1.003s,PASSED
