Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
new user,Chrome 73.0.3683.75,\u4EBA\u5458\u7BA1\u7406,2019-04-17 10:50:17,2019-04-17 10:56:27,6m - 10.131s,FAILED
,,,,,,
Test Cases/001_Login_Home/002_Login,Chrome 73.0.3683.75,登录（记住密码）,2019-04-17 10:50:18,2019-04-17 10:50:37,19.876s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 10:50:18,2019-04-17 10:50:18,0.011s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 10:50:18,2019-04-17 10:50:29,11.151s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:29,2019-04-17 10:50:30,1.012s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 10:50:30,2019-04-17 10:50:31,0.239s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:31,2019-04-17 10:50:32,1.004s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 10:50:32,2019-04-17 10:50:32,0.149s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:32,2019-04-17 10:50:33,1.005s,PASSED
"Statement - R = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementChecked(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/remember_password), 10)",Chrome 73.0.3683.75,,2019-04-17 10:50:33,2019-04-17 10:50:33,0.060s,PASSED
Statement - If (R),Chrome 73.0.3683.75,,2019-04-17 10:50:33,2019-04-17 10:50:33,0.004s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 10:50:33,2019-04-17 10:50:33,0.096s,PASSED
"Statement - a = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(homepage/a_homepage), 40)",Chrome 73.0.3683.75,,2019-04-17 10:50:33,2019-04-17 10:50:35,1.567s,PASSED
Statement - If (a),Chrome 73.0.3683.75,,2019-04-17 10:50:35,2019-04-17 10:50:35,0.355s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 10:50:35,2019-04-17 10:50:35,0.007s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/001_Enter_User",Chrome 73.0.3683.75,从系统设置进入人员管理,2019-04-17 10:50:37,2019-04-17 10:50:43,5.903s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 10:50:38,2019-04-17 10:50:38,0.005s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 10:50:38,2019-04-17 10:50:38,0.004s,NOT_RUN
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:38,2019-04-17 10:50:39,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 10:50:39,2019-04-17 10:50:39,0.119s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:39,2019-04-17 10:50:40,1.004s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 10:50:40,2019-04-17 10:50:40,0.340s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:40,2019-04-17 10:50:41,1.003s,PASSED
"Statement - verify_user = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/cite_usertable), 0)",Chrome 73.0.3683.75,,2019-04-17 10:50:41,2019-04-17 10:50:41,0.034s,PASSED
Statement - If (verify_user),Chrome 73.0.3683.75,,2019-04-17 10:50:41,2019-04-17 10:50:41,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 10:50:41,2019-04-17 10:50:41,0.003s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/002_Add_user",Chrome 73.0.3683.75,信息全部输入，或者支持不填写邮箱，保存成功。最后通过搜索刚才添加的用户，验证是否成功添加。,2019-04-17 10:50:43,2019-04-17 10:51:01,17.360s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 10:50:43,2019-04-17 10:50:43,0.004s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 10:50:44,2019-04-17 10:50:44,0.003s,NOT_RUN
comment,Chrome 73.0.3683.75,,2019-04-17 10:50:44,2019-04-17 10:50:44,0.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 10:50:44,2019-04-17 10:50:44,0.147s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:44,2019-04-17 10:50:45,1.005s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:45,2019-04-17 10:50:46,1.005s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 10:50:46,2019-04-17 10:50:46,0.134s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:46,2019-04-17 10:50:47,1.006s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 10:50:47,2019-04-17 10:50:47,0.111s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:47,2019-04-17 10:50:48,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 10:50:48,2019-04-17 10:50:48,0.150s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 10:50:48,2019-04-17 10:50:49,1.002s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 10:50:49,2019-04-17 10:50:49,0.156s,PASSED
