Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
staff manage,Chrome 73.0.3683.75,\u4EBA\u5458\u7BA1\u7406,2019-04-17 11:37:32,2019-04-17 11:48:24,10m - 52.216s,FAILED
,,,,,,
Test Cases/001_Login_Home/002_Login,Chrome 73.0.3683.75,登录（记住密码）,2019-04-17 11:37:33,2019-04-17 11:37:49,16.591s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 11:37:33,2019-04-17 11:37:33,0.010s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 11:37:33,2019-04-17 11:37:42,8.743s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:42,2019-04-17 11:37:43,1.009s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:37:43,2019-04-17 11:37:43,0.142s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:43,2019-04-17 11:37:44,1.004s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:37:44,2019-04-17 11:37:44,0.157s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:44,2019-04-17 11:37:45,1.001s,PASSED
"Statement - R = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementChecked(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/remember_password), 10)",Chrome 73.0.3683.75,,2019-04-17 11:37:45,2019-04-17 11:37:45,0.106s,PASSED
Statement - If (R),Chrome 73.0.3683.75,,2019-04-17 11:37:45,2019-04-17 11:37:45,0.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:37:45,2019-04-17 11:37:45,0.163s,PASSED
"Statement - a = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(homepage/a_homepage), 40)",Chrome 73.0.3683.75,,2019-04-17 11:37:45,2019-04-17 11:37:47,1.336s,PASSED
Statement - If (a),Chrome 73.0.3683.75,,2019-04-17 11:37:47,2019-04-17 11:37:47,0.278s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 11:37:47,2019-04-17 11:37:47,0.006s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/001_Enter_User",Chrome 73.0.3683.75,从系统设置进入人员管理,2019-04-17 11:37:49,2019-04-17 11:37:55,5.742s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 11:37:49,2019-04-17 11:37:49,0.006s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 11:37:49,2019-04-17 11:37:49,0.003s,NOT_RUN
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:49,2019-04-17 11:37:50,1.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:37:50,2019-04-17 11:37:51,0.137s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:51,2019-04-17 11:37:52,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:37:52,2019-04-17 11:37:52,0.290s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:52,2019-04-17 11:37:53,1.001s,PASSED
"Statement - verify_user = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Syetem_settings/User_Manage/cite_usertable), 0)",Chrome 73.0.3683.75,,2019-04-17 11:37:53,2019-04-17 11:37:53,0.032s,PASSED
Statement - If (verify_user),Chrome 73.0.3683.75,,2019-04-17 11:37:53,2019-04-17 11:37:53,0.004s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 11:37:53,2019-04-17 11:37:53,0.003s,PASSED
,,,,,,
"Test Cases/002_System_,Manage/001_User_Manage/002_Add_user",Chrome 73.0.3683.75,信息全部输入，或者支持不填写邮箱，保存成功。最后通过搜索刚才添加的用户，验证是否成功添加。,2019-04-17 11:37:55,2019-04-17 11:38:12,16.963s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.75,,2019-04-17 11:37:55,2019-04-17 11:37:55,0.004s,PASSED
callTestCase,Chrome 73.0.3683.75,,2019-04-17 11:37:55,2019-04-17 11:37:55,0.002s,NOT_RUN
comment,Chrome 73.0.3683.75,,2019-04-17 11:37:55,2019-04-17 11:37:55,0.003s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:37:55,2019-04-17 11:37:55,0.141s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:55,2019-04-17 11:37:56,1.003s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:56,2019-04-17 11:37:57,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:37:57,2019-04-17 11:37:57,0.112s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:57,2019-04-17 11:37:58,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:37:58,2019-04-17 11:37:59,0.113s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:37:59,2019-04-17 11:38:00,1.004s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:38:00,2019-04-17 11:38:00,0.106s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:00,2019-04-17 11:38:01,1.003s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:38:01,2019-04-17 11:38:01,0.143s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:01,2019-04-17 11:38:02,1.001s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:38:02,2019-04-17 11:38:02,0.247s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:02,2019-04-17 11:38:03,1.002s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:38:03,2019-04-17 11:38:03,0.155s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:03,2019-04-17 11:38:04,1.001s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:38:04,2019-04-17 11:38:04,0.198s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:04,2019-04-17 11:38:05,1.002s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:38:05,2019-04-17 11:38:06,0.105s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:06,2019-04-17 11:38:08,2.003s,PASSED
setText,Chrome 73.0.3683.75,,2019-04-17 11:38:08,2019-04-17 11:38:08,0.147s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:08,2019-04-17 11:38:09,1.001s,PASSED
click,Chrome 73.0.3683.75,,2019-04-17 11:38:09,2019-04-17 11:38:09,0.105s,PASSED
delay,Chrome 73.0.3683.75,,2019-04-17 11:38:09,2019-04-17 11:38:10,1.006s,PASSED
Statement - Try,Chrome 73.0.3683.75,,2019-04-17 11:38:10,2019-04-17 11:38:10,0.095s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.75,,2019-04-17 11:38:10,2019-04-17 11:38:10,0.006s,PASSED
,,,,,,
